Autore Test,Filtro,Funzioni di Attivazione,Tipo di Learning,Aggiornamento Pesi,Archittetura,Epoca in cui si è fermato,Accuracy,Loss Sul Training,Loss Sul Validation,Link Foto,Patience,Learning Rate,N°Epoche,Seed,Loss Function,padding,stride_cov,stride_pool,kernel_size_pool
Florindo,7x7,ReLU,Mini-Batch,Adam,"Conv(1,32),Conv(32,64),MaxPool(2x2),Conv(64,128),MaxPool(2x2)",9,"99,1","0,020289","0,034814",https://drive.google.com/file/d/1YX6rKmyhw55-0DYwT05gli4IyI9-GR-v/view?usp=drive_link,5,"0,001",50,16,CE,1,1,2,"2x2,"
Florindo,7x7,Sig,Mini-Batch,Adam,"Conv(1,32),Conv(32,64),MaxPool(2x2),Conv(64,128),Conv(128,256),MaxPool(2x2)",7,"10,1","2,317077","2,306036",https://drive.google.com/file/d/1NIQpGwhMmlTYBVAqNlv-P7adGkW5TOBf/view?usp=drive_link,5,"0,001",50,16,CE,1,1,2,"2x2,"
Florindo,7x7,ReLU,Mini-Batch,Adam,"Conv(1,32),Conv(32,64),MaxPool(2x2),Conv(64,128),Conv(128,256),MaxPool(2x2)",13,"99,1","0,017567","0,037253",https://drive.google.com/file/d/1fdZg1-7kXUo3iu-XTVGATvE_0kUg-wno/view?usp=drive_linkù,5,"0,001",50,16,CE,1,1,2,"2x2,"
Florindo,7x7,LReLU,Mini-Batch,Adam,"Conv(1,32),Conv(32,64),MaxPool(2x2),Conv(64,128),Conv(128,256),MaxPool(2x2)",9,99,"0,026066","0,041985",https://drive.google.com/file/d/13RDf43jfparlii7mlW7KcuAc3mC4n3Rz/view?usp=drive_link,5,"0,001",50,16,CE,1,1,2,"2x2,"
Florindo,7x7,ReLU,Batch,Rprop,"Conv(1,32),Conv(32,64),MaxPool(2x2)",50,"98,9","0,025288","0,054825",https://drive.google.com/file/d/1ki2IPI-l21hwF_fDBv6VytxkeuA7H744/view?usp=drive_link,5,"0,001",50,16,CE,1,1,2,"2x2,"
Florindo,7x7,LReLU,Batch,Rprop,"Conv(1,32),Conv(32,64),MaxPool(2x2)",50,"96,6","0,128716","0,12938",https://drive.google.com/file/d/1OUwfaFH2CRzqo-LlqY_uH57LgewCi6pB/view?usp=drive_link,5,"0,001",50,16,CE,1,1,2,"2x2,"
Florindo,7x7,Sig,Batch,Rprop,"Conv(1,32),Conv(32,64),MaxPool(2x2)",50,"91,6","0,312723","0,293212",https://drive.google.com/file/d/1JGMQ78fcbHYNEtBxK_zfYEze8wWRwn69/view?usp=drive_link,5,"0,001",50,16,CE,1,1,2,"2x2,"
Florindo,7x7,LReLU,Batch,Rprop,"Conv(1,32),Conv(32,64),MaxPool(2x2),Conv(64,128),MaxPool(2x2)",50,98.9,"0,025575","0,049499",https://drive.google.com/file/d/1egWPDr25xtA514Qm64AXcR_z0h46NrpN/view?usp=drive_link,5,"0,001",50,16,CE,1,1,2,"2x2,"
Florindo,7x7,Sig,Batch,Rprop,"Conv(1,32),Conv(32,64),MaxPool(2x2),Conv(64,128),MaxPool(2x2)",50,"95,3","0,186343","0,167559",https://drive.google.com/file/d/1ItNPF52H2yii8tfnPFc4hrXX2Kh4wXbA/view?usp=drive_link,5,"0,001",50,16,CE,1,1,2,"2x2,"
Florindo,7x7,ReLU,Batch,Rprop,"Conv(1,32),Conv(32,64),MaxPool(2x2),Conv(64,128),MaxPool(2x2)",50,99,"0,024168","0,045366",https://drive.google.com/file/d/1RDa4A2fy2JBe05ntc04pC_XBMyjjsHZP/view?usp=drive_link,5,"0,001",50,16,CE,1,1,2,"2x2,"
Florindo,7x7,Sig,Batch,Rprop,"Conv(1,32),Conv(32,64),MaxPool(2x2),Conv(64,128),Conv(128,256),MaxPool(2x2)",50,"90,9","0,522432","0,470288",https://drive.google.com/file/d/1EwhtAhk0L1kE-OdiM4EwiWMRcYuEzMZD/view?usp=drive_link,5,"0,001",50,16,CE,1,1,2,"2x2,"
Florindo,7x7,ReLU,Batch,Rprop,"Conv(1,32),Conv(32,64),MaxPool(2x2),Conv(64,128),Conv(128,256),MaxPool(2x2)",,,,,,5,"0,001",50,16,CE,1,1,2,"2x2,"
Florindo,7x7,LReLU,Batch,Rprop,"Conv(1,32),Conv(32,64),MaxPool(2x2),Conv(64,128),Conv(128,256),MaxPool(2x2)",,,,,,5,"0,001",50,16,CE,1,1,2,"2x2,"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,3x3,ReLU,Mini-Batch,Adam,"Conv(1,16),MaxPool(2x2),Conv(16,32),MaxPool(2x2)",13,"98,8","0,020771","0,050896",https://drive.google.com/file/d/1vNKutQfimxj3W4wRCx2UE9MNV3aSf220/view?usp=drive_link,5,"0,001",50,16,CE,1,1,2,"2x2,"
,3x3,ReLU,Mini-Batch,Adam,"Conv(1,32),MaxPool(2x2),Conv(32,64),MaxPool(2x2)",10,"98,9","0,023083","0,045518",https://drive.google.com/file/d/1Gsjue8s2cOZ_Luv9H3amx7gN7tepdJDP/view?usp=drive_link,5,"0,001",50,16,CE,1,1,2,"2x2,"
,3x3,ReLU,Mini-Batch,Adam,"Conv(1,64),MaxPool(2x2),Conv(64,128),MaxPool(2x2)",13,"98,8","0,012361","0,047086",https://drive.google.com/file/d/1vib53YpR_TT_JlvYWN3xzVfpzMfntvQX/view?usp=drive_link,5,"0,001",50,16,CE,1,1,2,"2x2,"
Giuly_ano,3x3,Sig,Mini-Batch,Adam,"Conv(1,16),MaxPool(2x2),Conv(16,32),MaxPool(2x2)",26,"98,7","0,02051991109","0,053522",https://drive.google.com/file/d/1giXsHtux0v6byMau-qzap69qMdi0LtPf/view?usp=drive_link,5,"0,001",50,16,CE,1,1,2,"2x2,"
Giuly_ano,3x3,Sig,Mini-Batch,Adam,"Conv(1,32),MaxPool(2x2),Conv(32,64),MaxPool(2x2)",19,"98,8","0,02064298554","0,054034",https://drive.google.com/file/d/1BO83NvjrsQZSEBIDBaVq2DX6PB_AEC68/view?usp=drive_link,5,"0,001",50,16,CE,1,1,2,"2x2,"
Dom,3x3,Sig,Mini-Batch,Adam,"Conv(1,64),MaxPool(2x2),Conv(64,128),MaxPool(2x2)",22,"98,6","0,01963","0,054827",https://drive.google.com/file/d/1TAtN6WWgtrZnXBd8MfnpvbYxLyd-wY2h/view?usp=drive_link,5,"0,001",50,16,CE,1,1,2,"2x2,"
Giuly_ano,3x3,LReLU,Mini-Batch,Adam,"Conv(1,16),MaxPool(2x2),Conv(16,32),MaxPool(2x2)",14,"98,9","0,009031211087","0,054802",https://drive.google.com/file/d/1ofXTMap5Zubm4ULDiLTAru2Sv4JoUCrl/view?usp=drive_link,5,"0,001",50,16,CE,1,1,2,"2x2,"
Giuly_ano,3x3,LReLU,Mini-Batch,Adam,"Conv(1,32),MaxPool(2x2),Conv(32,64),MaxPool(2x2)",12,99,"0,005399502897","0,066891",https://drive.google.com/file/d/1LW4xSOsfJf9OptMuHDf0rA6Y6Jgi_Juk/view?usp=drive_link,5,"0,001",50,16,CE,1,1,2,"2x2,"
Dom,3x3,LReLU,Mini-Batch,Adam,"Conv(1,64),MaxPool(2x2),Conv(64,128),MaxPool(2x2)",11,"99,1","0,011935","0,045424",https://drive.google.com/file/d/1LwpB7mIKqV_rS7SbZ4LPlrtirwHTrgAX/view?usp=drive_link,5,"0,001",50,16,CE,1,1,2,"2x2,"
